,Action Vector,Energy Used
0,"[[9.010359 ]
 [1.8404796]
 [7.3285356]
 [9.942635 ]
 [4.3928976]
 [8.222227 ]
 [8.80187  ]
 [1.9901543]
 [1.4762087]
 [9.9345875]]","[ 95.          95.         193.17950525 210.75783275 158.02285025
 281.07114276 365.         365.         228.33616025  95.        ]"
1,"[[9.459527 ]
 [9.515244 ]
 [9.527636 ]
 [8.382641 ]
 [5.2806406]
 [8.196308 ]
 [9.285583 ]
 [3.5494838]
 [9.907486 ]
 [8.7535095]]","[ 95.         111.40572864 199.13091638 210.09656485 177.19961945
 253.95915872 365.         319.75304952 221.06221331 133.33702558]"
2,"[[7.9077435]
 [1.9065464]
 [8.728752 ]
 [5.286037 ]
 [9.867025 ]
 [9.3050995]
 [3.5287025]
 [9.266799 ]
 [9.553951 ]
 [9.165997 ]]","[ 95.          95.         195.14003673 210.53999592 164.34011836
 272.13983267 365.         364.53958779 225.93995511 102.74028161]"
3,"[[3.6163607 ]
 [4.746271  ]
 [9.246258  ]
 [4.314837  ]
 [6.2204247 ]
 [0.05206776]
 [6.9676967 ]
 [5.704476  ]
 [0.35718155]
 [7.8681154 ]]","[ 95.          95.         191.83346472 210.90739281 153.68560855
 287.20310516 365.         365.         229.9813209   95.        ]"
4,"[[9.253578 ]
 [6.5477886]
 [0.6694937]
 [4.827816 ]
 [9.856457 ]
 [6.31635  ]
 [3.5926747]
 [3.0537384]
 [6.286992 ]
 [7.6486173]]","[ 95.          96.31517034 197.60490487 210.26612168 172.28247123
 260.91098895 365.         336.87828984 222.9273385  121.63760397]"
5,"[[8.792354  ]
 [0.20265245]
 [0.70802593]
 [4.790443  ]
 [0.9001155 ]
 [6.8625956 ]
 [6.2176523 ]
 [0.40054846]
 [9.867182  ]
 [7.955681  ]]","[ 95.          95.         194.16300875 210.64855458 161.19191708
 276.59073792 365.         365.         227.13410042  95.24973374]"
6,"[[4.592928  ]
 [1.1790421 ]
 [2.9590197 ]
 [1.7423401 ]
 [4.666456  ]
 [5.640857  ]
 [0.4760542 ]
 [0.06023693]
 [2.185724  ]
 [0.02094936]]","[ 95.          95.         193.45214167 210.72753981 158.90134538
 279.8291324  365.         365.         228.00293796  95.        ]"
7,"[[2.693306  ]
 [1.2137556 ]
 [0.79517555]
 [2.2389362 ]
 [3.7603886 ]
 [5.1229606 ]
 [1.2674031 ]
 [5.10636   ]
 [3.8071656 ]
 [6.1181192 ]]","[ 95.         110.63325359 199.05280092 210.10524434 176.94791409
 254.31501801 365.         320.62967851 221.15768776 132.73814042]"
8,"[[2.3401985]
 [0.1399951]
 [0.9903803]
 [7.044709 ]
 [1.6946344]
 [2.6222963]
 [4.799733 ]
 [7.5121965]
 [8.794069 ]
 [6.490289 ]]","[ 95.         113.23599749 199.31599975 210.07600003 177.79599918
 253.11600115 365.         317.67600284 220.83600031 134.75599806]"
9,"[[2.7318707]
 [1.8941174]
 [5.1139874]
 [0.9630227]
 [5.792185 ]
 [1.3175128]
 [7.753053 ]
 [8.049406 ]
 [2.360952 ]
 [4.4719434]]","[ 95.          95.         191.84606319 210.90599298 153.72620362
 287.14571212 365.         365.         229.96592276  95.        ]"
10,"[[1.0144949]
 [6.432011 ]
 [8.168476 ]
 [6.478405 ]
 [1.2791407]
 [5.678406 ]
 [2.9864497]
 [7.6478615]
 [3.9412024]
 [3.2850504]]","[ 95.          95.         192.55837236 210.82684752 156.02142204
 283.90074815 365.         365.         229.09532267  95.        ]"
11,"[[0.7679229 ]
 [1.7847717 ]
 [1.9823246 ]
 [2.0476518 ]
 [2.2862341 ]
 [0.14449263]
 [0.35882425]
 [8.449842  ]
 [2.7951655 ]
 [5.1707916 ]]","[ 95.          95.         192.47790745 210.83578806 155.76214624
 284.26731048 365.         365.         229.19366867  95.        ]"
12,"[[1.0171053 ]
 [3.843413  ]
 [2.7862592 ]
 [8.7584    ]
 [0.19341803]
 [0.62842464]
 [0.25686502]
 [6.0494237 ]
 [2.969158  ]
 [6.308549  ]]","[ 95.          95.         192.4599045  210.83778839 155.70413671
 284.34932396 365.         365.         229.21567228  95.        ]"
13,"[[5.2958117 ]
 [0.97564363]
 [2.7271876 ]
 [0.9647231 ]
 [4.110092  ]
 [0.142385  ]
 [5.269787  ]
 [0.3719306 ]
 [0.36082458]
 [1.0789261 ]]","[ 95.          95.         193.97286867 210.66968126 160.5792435
 277.45693161 365.         365.         227.36649385  95.        ]"
14,"[[0.09523201]
 [1.6594436 ]
 [1.4996734 ]
 [2.5592985 ]
 [0.52236795]
 [1.0494277 ]
 [0.18608618]
 [2.7021744 ]
 [0.4296379 ]
 [0.826797  ]]","[ 95.          95.         196.95725273 210.33808303 170.19559214
 263.86140422 365.         344.146386   223.71891333 116.67227095]"
15,"[[1.5468507 ]
 [8.374251  ]
 [2.8694243 ]
 [2.3591833 ]
 [0.6817398 ]
 [1.7057159 ]
 [3.0147939 ]
 [6.811224  ]
 [1.1213245 ]
 [0.12027836]]","[ 95.          95.         194.19328066 210.64519104 161.28945991
 276.45283254 365.         365.         227.09710141  95.4818184 ]"
16,"[[0.3235035 ]
 [0.07121181]
 [5.5696387 ]
 [3.4187381 ]
 [0.07971096]
 [0.08422184]
 [1.7241919 ]
 [0.19664288]
 [0.40865946]
 [0.97401094]]","[ 95.          95.         192.80461149 210.79948761 156.81485923
 282.77899212 365.         365.         228.79436374  95.        ]"
17,"[[5.2778244 ]
 [2.9401925 ]
 [9.755961  ]
 [3.4753342 ]
 [9.038385  ]
 [0.19560432]
 [2.2363396 ]
 [2.942948  ]
 [2.5108562 ]
 [1.067339  ]]","[ 95.         101.79281456 198.15882394 210.20457512 174.0673216
 258.38757981 365.         330.66208684 222.25032629 125.88431691]"
18,"[[0.8854542 ]
 [0.1248126 ]
 [0.23830557]
 [4.337171  ]
 [8.774065  ]
 [8.459729  ]
 [5.825621  ]
 [4.1529884 ]
 [1.67191   ]
 [0.05989075]]","[ 95.          95.         191.88835481 210.90129391 153.8624766
 286.95305032 365.         365.         229.91423301  95.        ]"
19,"[[1.9834447]
 [0.5270319]
 [2.8764718]
 [2.1649542]
 [1.2468462]
 [2.9811928]
 [3.7860937]
 [3.8247218]
 [3.2296133]
 [5.792839 ]]","[ 95.          95.         193.51404541 210.72066162 159.10081298
 279.54712647 365.         365.         227.92727783  95.        ]"
20,"[[1.392585 ]
 [0.4029293]
 [1.3855073]
 [6.8866353]
 [5.889912 ]
 [6.5953608]
 [6.57269  ]
 [4.4486513]
 [5.695675 ]
 [7.324525 ]]","[ 95.          95.         194.52214507 210.60865055 162.34913411
 274.95467247 365.         365.         226.69515603  98.00311218]"
21,"[[7.6870184]
 [4.2918735]
 [1.1003792]
 [5.572157 ]
 [2.0083413]
 [4.180545 ]
 [5.549356 ]
 [8.446993 ]
 [5.085476 ]
 [7.357856 ]]","[ 95.         111.06625718 199.0965878  210.10037913 177.08900515
 254.11554445 365.         320.13829242 221.10417046 133.07383983]"
22,"[[1.0509229]
 [2.4224675]
 [2.2826214]
 [7.996407 ]
 [2.971821 ]
 [7.5346613]
 [7.9540524]
 [5.5385404]
 [7.44438  ]
 [1.6984601]]","[ 95.          95.         193.5455452  210.71716164 159.2023123
 279.40362743 365.         365.         227.88877809  95.        ]"
23,"[[4.1561933]
 [4.444719 ]
 [3.8516464]
 [8.664465 ]
 [1.6525064]
 [3.4115157]
 [4.474455 ]
 [4.2209835]
 [6.913595 ]
 [2.2831964]]","[ 95.          95.         196.9530904  210.33854551 170.18218018
 263.88036596 365.         344.19309663 223.72400062 116.64035973]"
24,"[[5.8913145]
 [1.8494866]
 [3.0401096]
 [4.064987 ]
 [5.979432 ]
 [3.7912102]
 [1.9429734]
 [3.257013 ]
 [3.3229485]
 [4.137121 ]]","[ 95.          95.         191.95110676 210.89432147 154.06467734
 286.66718032 365.         365.         229.83753618  95.        ]"
25,"[[5.2951365]
 [3.0561647]
 [3.7497723]
 [7.7752275]
 [5.887965 ]
 [4.1885157]
 [3.5913653]
 [3.4887357]
 [6.2379084]
 [5.4456973]]","[ 95.          95.         192.7773511  210.80251654 156.72702022
 282.9031783  365.         365.         228.82768198  95.        ]"
26,"[[3.630567 ]
 [2.0313993]
 [6.2335835]
 [6.7152452]
 [6.067424 ]
 [4.806637 ]
 [3.2023466]
 [3.7351758]
 [6.123453 ]
 [6.0368433]]","[ 95.         101.92106679 198.17179327 210.20313408 174.10911165
 258.32849732 365.         330.51654219 222.23447489 125.98374841]"
27,"[[6.9338937]
 [5.1050167]
 [7.61765  ]
 [7.1270084]
 [7.40783  ]
 [3.987509 ]
 [6.418208 ]
 [5.070645 ]
 [4.578789 ]
 [4.162208 ]]","[ 95.          95.         192.8307614  210.79658207 156.89912007
 282.65986473 365.         365.         228.76240273  95.        ]"
28,"[[6.6402917]
 [5.572916 ]
 [7.2788315]
 [7.111388 ]
 [5.574967 ]
 [4.6999497]
 [6.8172674]
 [3.8686292]
 [6.344075 ]
 [7.135249 ]]","[ 95.          95.         192.42154133 210.84205096 155.58052208
 284.52408948 365.         365.         229.26256059  95.        ]"
29,"[[5.998823 ]
 [2.5849829]
 [2.9190025]
 [3.1525264]
 [3.3128567]
 [5.7968616]
 [3.4643831]
 [4.641207 ]
 [7.37866  ]
 [5.5595126]]","[ 95.          95.         192.96966553 210.78114827 157.34670003
 282.02707927 365.         365.         228.59263102  95.        ]"
