,Action Vector,Energy Used
0,"[[6.040371 ]
 [7.5853424]
 [8.868992 ]
 [6.641899 ]
 [4.5160303]
 [1.1892607]
 [7.424839 ]
 [8.372929 ]
 [9.387392 ]
 [5.631049 ]]","[ 95.         119.45808158 199.94519926 210.00608897 179.82341984
 250.24964781 365.         310.61498608 220.06697868 139.579861  ]"
1,"[[2.8559098]
 [5.9319944]
 [4.102464 ]
 [7.7747407]
 [7.033862 ]
 [9.847451 ]
 [9.466316 ]
 [6.02414  ]
 [3.2558808]
 [5.379055 ]]","[ 95.         123.92513842 200.39692411 209.95589732 181.27897769
 248.19179017 365.         305.54562944 219.51487053 143.04308484]"
2,"[[6.160071 ]
 [6.6575446]
 [5.067755 ]
 [6.758017 ]
 [9.108618 ]
 [5.0285335]
 [9.96236  ]
 [9.568656 ]
 [9.1535015]
 [1.7777398]]","[ 95.         118.26318183 199.8243667  210.01951481 179.43407048
 250.80010725 365.         311.97099591 220.21466292 138.65347804]"
3,"[[4.3567047]
 [5.3732862]
 [5.515131 ]
 [9.228995 ]
 [9.720901 ]
 [8.759127 ]
 [9.376297 ]
 [9.951168 ]
 [7.392125 ]
 [4.7420506]]","[ 95.         115.98443963 199.5939321  210.04511866 178.69155898
 251.84986489 365.         314.55698424 220.49630521 136.88681275]"
4,"[[9.40822  ]
 [6.5232644]
 [9.784065 ]
 [7.122431 ]
 [8.908375 ]
 [9.536638 ]
 [9.527875 ]
 [9.371937 ]
 [8.790135 ]
 [9.388525 ]]","[ 95.         115.53359295 199.54834086 210.05018435 178.54465388
 252.0575583  365.         315.06861923 220.55202784 136.53727993]"
5,"[[9.790443 ]
 [9.999365 ]
 [7.3239975]
 [7.5011597]
 [4.936025 ]
 [1.9626925]
 [8.864006 ]
 [8.532179 ]
 [9.90949  ]
 [9.846166 ]]","[ 95.         122.3231105  200.23492129 209.97389763 180.75696859
 248.92980303 365.         307.36366112 219.71287398 141.8010632 ]"
6,"[[7.8166347]
 [6.8830576]
 [2.0519617]
 [3.60281  ]
 [8.439747 ]
 [8.600882 ]
 [8.993317 ]
 [9.75713  ]
 [9.984865 ]
 [3.190458 ]]","[ 95.         123.95617266 200.4000624  209.95554862 181.28908997
 248.17749349 365.         305.5104108  219.51103484 143.0671451 ]"
7,"[[1.3075435]
 [5.013011 ]
 [9.031068 ]
 [2.8686562]
 [9.818842 ]
 [9.629907 ]
 [7.2946644]
 [7.6126146]
 [1.9088054]
 [7.4501257]]","[ 95.         115.89551925 199.58494015 210.04611776 178.66258493
 251.89082821 365.         314.65789388 220.50729537 136.81787448]"
8,"[[3.3876572 ]
 [8.024201  ]
 [0.05554008]
 [6.4866223 ]
 [5.511617  ]
 [0.04606628]
 [5.36142   ]
 [0.33789444]
 [7.6717997 ]
 [9.512521  ]]","[ 95.         123.82307419 200.38660301 209.95704411 181.2457208
 248.23880852 365.         305.66145513 219.52748521 142.96395639]"
9,"[[7.3858757 ]
 [9.993621  ]
 [3.2668452 ]
 [1.2941089 ]
 [7.723222  ]
 [5.3728776 ]
 [7.0055656 ]
 [3.8489323 ]
 [0.01451731]
 [9.184717  ]]","[ 95.         123.73861245 200.37806193 209.95799312 181.21819956
 248.27771786 365.         305.75730498 219.5379243  142.89847482]"
