,Action Vector,Energy Used
0,"[[5.875031 ]
 [7.901579 ]
 [7.67374  ]
 [7.073418 ]
 [9.154163 ]
 [6.015313 ]
 [4.4012337]
 [6.67445  ]
 [9.3645115]
 [8.766636 ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
1,"[[7.66835  ]
 [9.396613 ]
 [5.4600787]
 [1.9280748]
 [9.863785 ]
 [6.5989113]
 [8.137533 ]
 [4.8981633]
 [9.142672 ]
 [0.8290858]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
2,"[[2.4873803]
 [4.6696134]
 [2.7199833]
 [6.639554 ]
 [4.182054 ]
 [2.0833194]
 [5.2930555]
 [5.596448 ]
 [6.251997 ]
 [8.418806 ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
3,"[[9.7200985]
 [4.367098 ]
 [7.999087 ]
 [5.288112 ]
 [2.1587918]
 [5.561955 ]
 [9.194931 ]
 [1.4166915]
 [8.903084 ]
 [2.8453496]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
4,"[[6.028784  ]
 [8.710599  ]
 [9.627184  ]
 [1.260889  ]
 [0.20294237]
 [8.099328  ]
 [9.3218975 ]
 [0.75009394]
 [9.340424  ]
 [1.580193  ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
5,"[[8.374404  ]
 [2.4388182 ]
 [7.6491556 ]
 [0.32852745]
 [9.4437065 ]
 [7.1037846 ]
 [2.3189154 ]
 [5.7718363 ]
 [3.0138164 ]
 [4.7264824 ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
6,"[[9.818283  ]
 [2.7900536 ]
 [3.2129781 ]
 [0.04366493]
 [5.7710915 ]
 [0.5908079 ]
 [3.0004947 ]
 [2.0476606 ]
 [5.693859  ]
 [6.109047  ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
7,"[[7.7931232 ]
 [0.16962671]
 [3.5301363 ]
 [0.56831455]
 [2.8037217 ]
 [0.13689089]
 [0.5880246 ]
 [3.5212867 ]
 [0.5599365 ]
 [0.7763977 ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
8,"[[0.32704735]
 [5.1366653 ]
 [4.458247  ]
 [7.4799776 ]
 [9.835498  ]
 [4.133512  ]
 [1.1055944 ]
 [6.5635357 ]
 [1.498219  ]
 [9.352271  ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
9,"[[9.117544 ]
 [9.697477 ]
 [5.1333885]
 [1.3310108]
 [3.5824776]
 [4.94146  ]
 [0.9933233]
 [8.376948 ]
 [4.2793517]
 [6.6497254]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
10,"[[3.6956048 ]
 [2.3290694 ]
 [2.6995234 ]
 [2.8297474 ]
 [3.145225  ]
 [2.0595453 ]
 [5.1119456 ]
 [0.08660984]
 [0.6458769 ]
 [4.9035378 ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
11,"[[0.33906746]
 [1.5098948 ]
 [9.207336  ]
 [1.0344853 ]
 [9.672653  ]
 [0.51979256]
 [0.13279724]
 [0.4133234 ]
 [0.7271204 ]
 [3.214192  ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
12,"[[5.576413  ]
 [0.3745966 ]
 [6.272952  ]
 [2.4633787 ]
 [2.4700782 ]
 [9.546077  ]
 [8.623032  ]
 [4.326853  ]
 [3.0775526 ]
 [0.49596548]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
13,"[[0.29880428]
 [9.349018  ]
 [9.81918   ]
 [5.3212457 ]
 [2.0621953 ]
 [3.0036626 ]
 [1.5776448 ]
 [2.4570475 ]
 [0.888237  ]
 [0.12088013]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
14,"[[0.60629034]
 [0.17988253]
 [2.4794962 ]
 [0.09264088]
 [0.72132444]
 [0.19447613]
 [2.67251   ]
 [0.0472312 ]
 [0.9297533 ]
 [0.07742786]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
15,"[[1.7703242 ]
 [6.380563  ]
 [0.10450888]
 [0.01220369]
 [0.9772563 ]
 [0.10726452]
 [0.07843018]
 [0.05916166]
 [0.18326283]
 [0.28625202]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
16,"[[0.21097946]
 [0.9558096 ]
 [0.7961559 ]
 [0.12568426]
 [0.00405455]
 [0.5719032 ]
 [0.9334259 ]
 [0.03445578]
 [0.88353634]
 [0.1553564 ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
17,"[[3.1170254]
 [0.3633108]
 [5.868136 ]
 [4.0494437]
 [8.533442 ]
 [0.6037426]
 [1.303829 ]
 [2.0875082]
 [1.4436669]
 [3.6493664]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
18,"[[3.9339187]
 [2.1335502]
 [3.2319438]
 [5.123182 ]
 [2.804183 ]
 [1.9932935]
 [3.8480353]
 [3.3305156]
 [3.4779973]
 [3.5783145]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
19,"[[3.217516 ]
 [1.9893119]
 [1.7329388]
 [3.0574908]
 [3.0994415]
 [1.6087556]
 [4.559067 ]
 [2.240218 ]
 [3.4012287]
 [3.3126543]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
20,"[[4.8692665]
 [3.5378885]
 [4.453757 ]
 [1.7189147]
 [1.9827747]
 [2.436839 ]
 [3.5397663]
 [4.9265046]
 [3.5945134]
 [1.3453608]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
21,"[[2.4127312 ]
 [3.9000201 ]
 [3.8269134 ]
 [3.7315164 ]
 [3.04591   ]
 [5.94311   ]
 [1.5349362 ]
 [1.7359712 ]
 [1.3109651 ]
 [0.73942184]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
22,"[[0.44467974]
 [3.0252025 ]
 [4.815511  ]
 [2.3208709 ]
 [2.7178001 ]
 [3.965183  ]
 [4.1691637 ]
 [3.9702902 ]
 [2.6541646 ]
 [4.4624505 ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
23,"[[3.0082917]
 [2.6614652]
 [3.5340018]
 [3.7623286]
 [0.753253 ]
 [0.6840749]
 [2.280549 ]
 [1.6212697]
 [4.2713647]
 [3.820774 ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
24,"[[2.546682 ]
 [1.9840419]
 [2.4767158]
 [3.206968 ]
 [2.6015959]
 [2.550243 ]
 [2.2343538]
 [4.646807 ]
 [2.3270025]
 [1.9778028]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
25,"[[2.2727199]
 [1.9186056]
 [1.4211514]
 [2.1174579]
 [1.3486896]
 [2.0646966]
 [0.6706276]
 [3.2006245]
 [3.5597625]
 [2.5561593]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
26,"[[2.7057343 ]
 [2.391807  ]
 [2.4581947 ]
 [2.9050965 ]
 [4.5790033 ]
 [0.06201887]
 [0.18393898]
 [0.08910275]
 [0.01506424]
 [0.03746223]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
27,"[[0.12794304]
 [0.03700209]
 [0.0716238 ]
 [0.21858692]
 [0.05134678]
 [0.02052307]
 [0.10966873]
 [0.06456375]
 [0.00905228]
 [0.00320292]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
28,"[[0.05138493]
 [0.07419682]
 [0.22158146]
 [0.05023956]
 [0.04138565]
 [0.02118397]
 [0.02915335]
 [0.02597761]
 [0.02846956]
 [0.00293159]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
29,"[[0.04047012]
 [0.02090359]
 [0.06160498]
 [0.01460505]
 [0.05080748]
 [0.29661942]
 [0.01044703]
 [0.0316925 ]
 [0.04084587]
 [0.04285431]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
