,Action Vector,Energy Used
0,"[[2.8183289]
 [2.705113 ]
 [2.548528 ]
 [2.572142 ]
 [2.178395 ]
 [2.447221 ]
 [2.3171563]
 [2.567399 ]
 [2.6316574]
 [2.4442196]]","[ 95.         106.12787135 198.59720047 210.15586661 175.47986819
 256.39053118 365.         325.74252802 221.71453275 129.24520363]"
1,"[[2.4452612]
 [2.3222482]
 [2.1330538]
 [1.8126199]
 [2.3080375]
 [1.8366241]
 [1.7207158]
 [2.3050852]
 [1.7284665]
 [2.675323 ]]","[ 95.         106.76798375 198.66193094 210.14867434 175.68844414
 256.09564794 365.         325.01610833 221.63541774 129.74147055]"
2,"[[2.361159 ]
 [2.557014 ]
 [2.7207382]
 [2.5549808]
 [2.4174285]
 [2.8461   ]
 [1.8057368]
 [2.8674157]
 [2.6642177]
 [2.675123 ]]","[ 95.         107.64028397 198.75014108 210.13887321 175.9726768
 255.69380177 365.         324.0261946  221.52760535 130.41774824]"
3,"[[3.2785378]
 [3.4431443]
 [1.4649799]
 [4.5581284]
 [1.6792057]
 [3.0770516]
 [1.6789784]
 [3.0166385]
 [2.8428779]
 [1.7868185]]","[ 95.         107.50969035 198.73693498 210.14034056 175.93012382
 255.75396287 365.         324.17439634 221.54374614 130.31650151]"
4,"[[1.1195183 ]
 [3.454611  ]
 [2.967368  ]
 [4.997947  ]
 [2.1750977 ]
 [0.93783665]
 [3.004232  ]
 [0.86432695]
 [2.3164284 ]
 [2.8649538 ]]","[ 95.         109.64420182 198.95278445 210.11635728 176.62563879
 254.7706486  365.         321.75208558 221.27993011 131.97134748]"
5,"[[6.7662597 ]
 [6.635294  ]
 [0.29284334]
 [4.100007  ]
 [4.6109567 ]
 [4.814203  ]
 [2.7860687 ]
 [3.2313018 ]
 [7.7953353 ]
 [4.742397  ]]","[ 95.         108.19675517 198.80641344 210.13262073 176.15399888
 255.43744986 365.         323.39469357 221.45882801 130.84916974]"
6,"[[8.856203 ]
 [2.0683658]
 [3.5599866]
 [2.1428876]
 [1.0016122]
 [1.5087688]
 [0.6519809]
 [5.738997 ]
 [5.9416213]
 [6.662036 ]]","[ 95.         108.9022958  198.87776025 210.12469331 176.38389414
 255.11242553 365.         322.59402387 221.37162636 131.39616191]"
7,"[[4.548467 ]
 [3.2045753]
 [6.0819874]
 [1.5396311]
 [5.5061164]
 [7.347399 ]
 [1.9380689]
 [0.9408622]
 [0.959486 ]
 [5.4296494]]","[ 95.         107.53594683 198.73959013 210.14004554 175.93867931
 255.74186719 365.         324.14459966 221.54050095 130.33685766]"
8,"[[1.4804184]
 [8.02937  ]
 [3.5244675]
 [2.859317 ]
 [0.3234501]
 [2.6564124]
 [7.630143 ]
 [8.553235 ]
 [8.441392 ]
 [7.895962 ]]","[ 95.         107.17904986 198.70349942 210.14405562 175.82238703
 255.9062804  365.         324.54961757 221.58461181 130.06016225]"
9,"[[0.6697154]
 [3.3472743]
 [3.3484707]
 [1.2754493]
 [1.2614107]
 [9.493896 ]
 [5.307957 ]
 [2.1510909]
 [5.656652 ]
 [5.9021373]]","[ 95.         108.21314848 198.80807119 210.13243653 176.15934051
 255.42989789 365.         323.37608993 221.45680187 130.86187916]"
10,"[[9.397249 ]
 [3.6811068]
 [6.931864 ]
 [4.366846 ]
 [7.756896 ]
 [2.3271399]
 [2.9775817]
 [7.383177 ]
 [5.8845906]
 [2.4611516]]","[ 95.         108.20745997 198.80749595 210.13250045 176.15748696
 255.43251844 365.         323.38254543 221.45750495 130.85746897]"
11,"[[4.9198475]
 [8.399487 ]
 [5.106829 ]
 [9.550925 ]
 [2.6342888]
 [4.5877867]
 [1.8020616]
 [0.8178196]
 [7.8159876]
 [5.3876133]]","[ 95.         108.87485963 198.8749858  210.12500158 176.37495426
 255.12506467 365.         322.6251593  221.37501735 131.37489117]"
12,"[[1.4847767]
 [9.7188225]
 [8.803672 ]
 [1.2325444]
 [7.6783466]
 [9.256461 ]
 [8.821263 ]
 [9.753333 ]
 [2.4638498]
 [8.100377 ]]","[ 95.         109.88424733 198.97705872 210.11366014 176.70385587
 254.66006584 365.         321.47967438 221.25026157 132.15745018]"
13,"[[1.7717848 ]
 [1.4105358 ]
 [8.033438  ]
 [8.928157  ]
 [5.560331  ]
 [0.4584689 ]
 [5.7484484 ]
 [1.2111452 ]
 [0.72879934]
 [9.781168  ]]","[ 95.         111.54817595 199.14532116 210.09496432 177.24603486
 253.89353692 365.         319.59139583 221.04460747 133.44746226]"
14,"[[5.1969543]
 [8.0958   ]
 [8.297128 ]
 [8.269278 ]
 [1.8500423]
 [6.980342 ]
 [4.7477546]
 [9.090287 ]
 [7.8982725]
 [4.7835155]]","[ 95.         108.95138992 198.88272482 210.12414169 176.3998911
 255.08980914 365.         322.53831031 221.36555855 131.43422365]"
15,"[[2.5541725]
 [3.5368683]
 [3.165394 ]
 [6.847577 ]
 [9.328898 ]
 [9.075302 ]
 [9.6707325]
 [7.0210247]
 [7.390671 ]
 [7.1993895]]","[ 95.         111.42546681 199.13291237 210.09634307 177.20605098
 253.95006585 365.         319.73065002 221.05977376 133.3523282 ]"
16,"[[2.5039499 ]
 [0.32885313]
 [6.302022  ]
 [6.886914  ]
 [2.5740442 ]
 [8.649271  ]
 [2.7581003 ]
 [2.6047173 ]
 [0.3561554 ]
 [9.1498    ]]","[ 95.         112.0151505  199.19254331 210.08971741 177.39819511
 253.67841381 365.         319.06145842 220.98689151 133.8094987 ]"
