,Action Vector,Energy Used
0,"[[9.319447 ]
 [9.999671 ]
 [0.8995352]
 [9.929839 ]
 [1.7594523]
 [9.999899 ]
 [9.962683 ]
 [9.999666 ]
 [9.263645 ]
 [5.0372148]]","[ 95.         123.45218201 200.34909706 209.96121144 181.12486829
 248.40966896 365.         306.08235525 219.57332582 142.67641077]"
1,"[[9.896709  ]
 [9.28837   ]
 [0.14886475]
 [3.5846956 ]
 [9.922757  ]
 [3.8857093 ]
 [2.9318593 ]
 [9.863096  ]
 [6.7563972 ]
 [5.393854  ]]","[ 95.         120.0044014  200.00044509 209.99995055 180.00143417
 249.99797239 365.         309.99500515 219.99945601 140.00341232]"
2,"[[0.2116909 ]
 [7.6748257 ]
 [0.06879091]
 [8.856779  ]
 [8.419897  ]
 [8.579689  ]
 [1.537015  ]
 [4.168828  ]
 [9.33276   ]
 [0.76159143]]","[ 95.         118.65825007 199.86431742 210.01507584 179.56280059
 250.61810952 365.         311.52266003 220.16583426 138.95976691]"
3,"[[3.3442566]
 [9.822322 ]
 [2.6186664]
 [1.6011357]
 [1.5467336]
 [2.3460996]
 [7.0411663]
 [9.912002 ]
 [9.975898 ]
 [2.3255274]]","[ 95.         120.92139666 200.09317494 209.98964723 180.30023037
 249.57553637 365.         308.95437008 219.88611951 140.71434123]"
4,"[[5.1560364]
 [7.075581 ]
 [8.317564 ]
 [1.7859662]
 [1.8108625]
 [2.7059214]
 [9.764318 ]
 [3.36523  ]
 [4.000359 ]
 [9.514308 ]]","[ 95.         122.82761006 200.2859381  209.9682291  180.92135609
 248.69739312 365.         306.79113914 219.6505201  142.19219207]"
5,"[[9.73911   ]
 [8.993965  ]
 [8.769697  ]
 [2.000502  ]
 [2.2562733 ]
 [0.28221035]
 [5.04661   ]
 [0.73686314]
 [7.0582323 ]
 [7.531348  ]]","[ 95.         120.00135236 200.00013676 209.9999848  180.00044066
 249.999377   365.         309.9984653  219.99983285 140.00104846]"
6,"[[7.157218  ]
 [6.0074697 ]
 [5.0928793 ]
 [8.728218  ]
 [3.1007514 ]
 [6.9642744 ]
 [6.342384  ]
 [0.74614096]
 [9.408472  ]
 [2.8831835 ]]","[ 95.         120.49531841 200.05008838 209.99443462 180.16139589
 249.77181961 365.         309.43789709 219.93878087 140.3840109 ]"
7,"[[9.893572 ]
 [9.787592 ]
 [0.5387993]
 [5.165368 ]
 [3.5993066]
 [7.457271 ]
 [6.66635  ]
 [9.452809 ]
 [0.8740096]
 [7.4878793]]","[ 95.         120.00446519 200.00045154 209.99994983 180.00145495
 249.997943   365.         309.99493276 219.99944812 140.00346178]"
8,"[[9.527506  ]
 [3.8957872 ]
 [5.2528615 ]
 [0.2088108 ]
 [9.250573  ]
 [6.3086395 ]
 [9.655554  ]
 [8.58703   ]
 [0.84688807]
 [4.220268  ]]","[ 95.         123.0305659  200.30646172 209.9659487  180.98748777
 248.60389661 365.         306.56081847 219.62543568 142.34953985]"
9,"[[4.341411 ]
 [0.9256611]
 [4.9174967]
 [3.7022333]
 [2.1815004]
 [3.0070195]
 [4.3905673]
 [9.831458 ]
 [5.869937 ]
 [8.951452 ]]","[ 95.         120.49397138 200.04995216 209.99444976 180.16095697
 249.77244015 365.         309.43942574 219.93894736 140.38296657]"
10,"[[1.67243  ]
 [9.177836 ]
 [7.444707 ]
 [5.2600813]
 [9.501541 ]
 [5.4244127]
 [5.695174 ]
 [4.997913 ]
 [1.9622774]
 [4.2594805]]","[ 95.         121.33730466 200.13523306 209.9849741  180.43575096
 249.3839383  365.         308.4823846  219.83471515 141.03678676]"
11,"[[6.37144  ]
 [5.9517107]
 [2.6448753]
 [8.963762 ]
 [3.513118 ]
 [7.3544283]
 [2.7375937]
 [5.968345 ]
 [6.3206196]
 [9.10726  ]]","[ 95.         123.22974799 200.32660373 209.9637107  181.0523898
 248.51213857 365.         306.33478037 219.60081766 142.50396193]"
12,"[[3.5977993 ]
 [8.111601  ]
 [3.7238708 ]
 [3.719515  ]
 [1.4023092 ]
 [0.5633931 ]
 [4.3906097 ]
 [0.82762766]
 [8.983568  ]
 [8.752541  ]]","[ 95.         118.03796261 199.80159172 210.02204536 179.36068445
 250.90385992 365.         312.22658176 220.242499   138.47886989]"
13,"[[8.533457 ]
 [4.385141 ]
 [9.590585 ]
 [6.8439407]
 [3.9063313]
 [0.974905 ]
 [7.7261333]
 [1.9132853]
 [2.7340918]
 [1.6479673]]","[ 95.         123.92722524 200.39713514 209.95587387 181.27965766
 248.19082882 365.         305.54326125 219.51461261 143.04470271]"
14,"[[4.4171343]
 [7.2690735]
 [8.503305 ]
 [7.7567196]
 [2.6056342]
 [3.617457 ]
 [4.718134 ]
 [4.1602817]
 [5.0081515]
 [5.294266 ]]","[ 95.         121.01161781 200.10229843 209.98863351 180.32962827
 249.53397382 365.         308.85198429 219.87496859 140.78428796]"
15,"[[2.3985088]
 [2.9265542]
 [9.325455 ]
 [6.8329144]
 [1.6425476]
 [8.427266 ]
 [3.2821295]
 [6.0077753]
 [6.728037 ]
 [8.588883 ]]","[ 95.         121.47160581 200.14881407 209.9834651  180.479512
 249.32206924 365.         308.32997543 219.81811614 141.14090787]"
16,"[[4.609916 ]
 [3.666317 ]
 [7.97594  ]
 [9.46542  ]
 [5.645209 ]
 [4.042814 ]
 [9.018581 ]
 [6.1604033]
 [2.821772 ]
 [4.051814 ]]","[ 95.         119.08606485 199.90757959 210.01026893 179.70220091
 250.4210263  365.         311.03716236 220.11295828 139.29144354]"
17,"[[7.2824545]
 [5.236872 ]
 [7.227107 ]
 [1.716496 ]
 [3.249358 ]
 [9.117996 ]
 [8.134601 ]
 [4.432962 ]
 [8.886608 ]
 [4.7478933]]","[ 95.         121.74083262 200.17603925 209.98044008 180.5672376
 249.1980434  365.         308.02444837 219.78484091 141.34963428]"
18,"[[5.1675277 ]
 [8.096091  ]
 [5.138587  ]
 [5.7636833 ]
 [9.555233  ]
 [4.061566  ]
 [0.23753834]
 [2.0878205 ]
 [5.685544  ]
 [7.289962  ]]","[ 95.         116.9488623  199.69145798 210.03428245 179.00580906
 251.40558029 365.         313.46252706 220.37710691 137.63451122]"
19,"[[1.6538644 ]
 [7.7464714 ]
 [0.9845004 ]
 [1.2056217 ]
 [9.041111  ]
 [1.577153  ]
 [9.511127  ]
 [4.8467436 ]
 [0.13467598]
 [4.1878247 ]]","[ 95.         123.84974172 200.38929972 209.95674448 181.25441022
 248.22652348 365.         305.63119198 219.52418923 142.98463122]"
20,"[[0.56375647]
 [1.5030909 ]
 [3.9898925 ]
 [8.780286  ]
 [0.7836032 ]
 [5.043686  ]
 [9.707933  ]
 [6.016103  ]
 [9.836696  ]
 [6.473386  ]]","[ 95.         117.29222577 199.72618013 210.03042443 179.11769154
 251.24740161 365.         313.07286739 220.33466873 137.90071436]"
21,"[[9.155305 ]
 [9.606245 ]
 [7.0965886]
 [9.090076 ]
 [6.494789 ]
 [6.642579 ]
 [7.9571137]
 [6.593728 ]
 [9.835405 ]
 [2.2000434]]","[ 95.         123.4896653  200.3528875  209.96079028 181.13708195
 248.39240138 365.         306.03981804 219.56869305 142.70547085]"
22,"[[8.282375 ]
 [2.7784092]
 [2.1429896]
 [7.592689 ]
 [9.814981 ]
 [9.147443 ]
 [0.7569556]
 [1.7833486]
 [7.831082 ]
 [8.92899  ]]","[ 95.         119.07739104 199.90670246 210.01036639 179.69937461
 250.42502211 365.         311.04700568 220.11403032 139.28471889]"
23,"[[0.43634367]
 [8.3283    ]
 [3.9206872 ]
 [2.9132113 ]
 [6.9224234 ]
 [5.27237   ]
 [3.8168929 ]
 [7.2001424 ]
 [4.829467  ]
 [9.017315  ]]","[ 95.         118.10861967 199.80873682 210.02125146 179.38370753
 250.87131004 365.         312.1463979  220.23376611 138.53364896]"
