,Action Vector,Energy Used
0,"[[0.7418256 ]
 [1.0980105 ]
 [0.00723267]
 [0.08207369]
 [0.01591253]
 [0.5942993 ]
 [0.14897728]
 [0.07618999]
 [0.1518755 ]
 [0.19122267]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
1,"[[0.330904  ]
 [0.03707027]
 [0.71088505]
 [1.2138937 ]
 [0.43967772]
 [2.4390545 ]
 [0.50665   ]
 [0.05358744]
 [2.2696743 ]
 [2.6099403 ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
2,"[[0.90173054]
 [0.03508854]
 [4.3309703 ]
 [4.52501   ]
 [3.8764827 ]
 [2.0081797 ]
 [0.20897007]
 [0.41545343]
 [0.20145273]
 [1.3453398 ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
3,"[[6.002967 ]
 [2.7615254]
 [3.378047 ]
 [0.7520075]
 [1.0222461]
 [1.9997158]
 [0.3929863]
 [0.2898779]
 [7.621534 ]
 [4.6967916]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
4,"[[2.2745137 ]
 [0.53609943]
 [7.585202  ]
 [5.0869474 ]
 [1.2306333 ]
 [3.4352455 ]
 [5.177443  ]
 [1.9643946 ]
 [2.643449  ]
 [2.7066028 ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
5,"[[5.4476557 ]
 [6.1820374 ]
 [0.41744757]
 [1.5544775 ]
 [6.5979013 ]
 [2.3586094 ]
 [5.250706  ]
 [4.1378675 ]
 [5.302271  ]
 [5.6258874 ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
6,"[[1.5663295 ]
 [2.081447  ]
 [3.6079648 ]
 [2.0824983 ]
 [5.970084  ]
 [2.157065  ]
 [7.4561887 ]
 [0.89002705]
 [9.112722  ]
 [0.9969716 ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
7,"[[3.3608394]
 [7.9318714]
 [2.413199 ]
 [4.959971 ]
 [9.068053 ]
 [1.8903761]
 [2.4713073]
 [0.6711488]
 [2.81     ]
 [2.1786218]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
8,"[[6.234094  ]
 [2.4040093 ]
 [4.3151193 ]
 [0.2588377 ]
 [5.1899323 ]
 [8.989315  ]
 [4.7258863 ]
 [0.79289913]
 [8.35022   ]
 [7.7646637 ]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
9,"[[4.5258346 ]
 [3.9388804 ]
 [7.32071   ]
 [8.96782   ]
 [2.9383347 ]
 [4.01667   ]
 [3.0477257 ]
 [8.891037  ]
 [7.4938965 ]
 [0.77735615]]",[ 95. 120. 200. 210. 180. 250. 365. 310. 220. 140.]
